pc,S.N.,name,party,EVM Votes,Postal Votes,Votes_Total,% of Votes
CUDDALORE,3,THANKAR BACHAN,Pattali Makkal Katchi,202372,2872,205244,19.9
CUDDALORE,4,V. MANIVASAGAN,Naam Tamilar,56863,561,57424,5.57
CUDDALORE,5,S. ARIVUDAINAMBI,Anti Corruption Dynamic Party,6479,21,6500,0.63
CUDDALORE,6,A. BALAJI,Independent,5440,10,5450,0.53
CUDDALORE,7,V.THANIGAISELVAN,Bahujan Samaj Party,3917,54,3971,0.38
CUDDALORE,8,K. MAYAKRISHNAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,3696,6,3702,0.36
CUDDALORE,9,SU.VA. DHATSHANAMOORTHY,Independent,3414,5,3419,0.33
CUDDALORE,10,S. RAMALINGAM,Independent,3208,8,3216,0.31
CUDDALORE,11,G. PICHAMUTHU,Independent,2186,8,2194,0.21
CUDDALORE,12,R. ANANDHI,Independent,1677,19,1696,0.16
CUDDALORE,13,S. CHAKKARAVARTHY,Independent,1484,4,1488,0.14
CUDDALORE,14,R. SRINIVASAN,Independent,1352,11,1363,0.13
CUDDALORE,15,V. DAKSHANAAMURTHY,Independent,1276,10,1286,0.12
CUDDALORE,16,THANGA MURUGAN,Desiya Makkal Sakthi Katchi,1030,6,1036,0.1
CUDDALORE,17,R. RAJASEKAR,Independent,701,11,712,0.07
CUDDALORE,18,R. PRAKASH,Independent,694,6,700,0.07
CUDDALORE,19,S. RAJAMOHAN,Independent,659,1,660,0.06
CUDDALORE,20,NOTA,None of the Above,7084,208,7292,0.71
CHIDAMBARAM,1,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,501851,3233,505084,43.28
CHIDAMBARAM,2,CHANDRAHASAN M,AIADMK,399502,2028,401530,34.4
CHIDAMBARAM,3,KARTHIYAYINI P,BJP,166114,2379,168493,14.44
CHIDAMBARAM,4,JANCIRANI R,Naam Tamilar,65116,473,65589,5.62
CHIDAMBARAM,5,NEELAMEGAM K,Bahujan Samaj Party,3177,26,3203,0.27
CHIDAMBARAM,6,TAMILVENDHAN P,Independent,3043,19,3062,0.26
CHIDAMBARAM,7,PERUMAL S,Independent,2231,8,2239,0.19
CHIDAMBARAM,8,VETTRIVEL G,Independent,2039,2,2041,0.17
CHIDAMBARAM,9,ARCHUNAN M A T,Independent,1833,3,1836,0.16
CHIDAMBARAM,10,DHAMODHARAN S,Naadaalum Makkal Katchi,1628,14,1642,0.14
CHIDAMBARAM,11,RATHA G,Independent,1273,7,1280,0.11
CHIDAMBARAM,12,RAJAMANICKAM C,Independent,1068,19,1087,0.09
CHIDAMBARAM,13,CHINNADURAI A,Independent,628,10,638,0.05
CHIDAMBARAM,14,ELAVARASAN C,Independent,584,2,586,0.05
CHIDAMBARAM,15,NOTA,None of the Above,8631,130,8761,0.75
MAYILADUTHURAI,1,SUDHA R,INC,516534,1925,518459,47.67
MAYILADUTHURAI,2,BABU P,AIADMK,246083,1193,247276,22.73
MAYILADUTHURAI,3,STALIN M K,Pattali Makkal Katchi,165770,667,166437,15.3
MAYILADUTHURAI,4,KALIYAMMAL P,Naam Tamilar,127276,366,127642,11.73
MAYILADUTHURAI,5,KARTHICK A,Samaniya Makkal Nala Katchi,3888,3,3891,0.36
MAYILADUTHURAI,6,ILANCHEZHIAN T,Bahujan Samaj Party,2878,20,2898,0.27
MAYILADUTHURAI,7,BABU S,Independent,1832,6,1838,0.17
MAYILADUTHURAI,8,MANIMARAN T,Independent,1710,1,1711,0.16
MAYILADUTHURAI,9,NAGARAJAN K,Independent,1342,5,1347,0.12
MAYILADUTHURAI,10,SILAMBARASAN D,Independent,1255,1,1256,0.12
MAYILADUTHURAI,11,JAFARULLAH KHAN F,Independent,1230,6,1236,0.11
MAYILADUTHURAI,12,PANDIYARAJAN S,Independent,1169,5,1174,0.11
MAYILADUTHURAI,13,TIMOTHY T,Independent,1165,10,1175,0.11
MAYILADUTHURAI,14,VEDARETHINAM S,Anna MGR Dravida Makkal Kalgam,780,2,782,0.07
MAYILADUTHURAI,15,NITHIYANANTHAM S,Naadaalum Makkal Katchi,735,4,739,0.07
MAYILADUTHURAI,16,SRINIVASAN V,Independent,609,8,617,0.06
MAYILADUTHURAI,17,DHAKSHINAMOORTHY M,Independent,518,17,535,0.05
MAYILADUTHURAI,18,NOTA,None of the Above,8642,53,8695,0.8
NAGAPATTINAM,1,SELVARAJ V,Communist Party of India,462759,2285,465044,47.79
NAGAPATTINAM,2,DR SURSITH SANKAR G,AIADMK,254676,1411,256087,26.32
NAGAPATTINAM,3,KARTHIKA M,Naam Tamilar,130846,448,131294,13.49
NAGAPATTINAM,4,RAMESHGOVIND S G M,BJP,101535,638,102173,10.5
NAGAPATTINAM,5,VIJAYARAGAVAN N,Independent,3072,30,3102,0.32
NAGAPATTINAM,6,SUBRAMANIAN K,Independent,2434,33,2467,0.25
NAGAPATTINAM,7,JAGADEESH J BE,Bahujan Samaj Party,1789,17,1806,0.19
NAGAPATTINAM,8,BOOMINATHAN B,Desiya Makkal Sakthi Katchi,1048,2,1050,0.11
NAGAPATTINAM,9,PREM S,Independent,1047,23,1070,0.11
NAGAPATTINAM,10,NOTA,None of the Above,8843,75,8918,0.92
THANJAVUR,1,MURASOLI S,DMK,498822,3423,502245,48.82
THANJAVUR,2,SIVANESAN P,DMDK,182172,490,182662,17.76
THANJAVUR,3,MURUGANANTHAM M,BJP,169587,1026,170613,16.59
THANJAVUR,4,HUMAYUN KABIR,Naam Tamilar,119683,610,120293,11.69
THANJAVUR,5,RENGASAMY C,Independent,18130,61,18191,1.77
THANJAVUR,6,SARAVANAN M,Independent,6730,65,6795,0.66
THANJAVUR,7,SENTHIL KUMAR N,Independent,4133,25,4158,0.4
THANJAVUR,8,EZHILARASAN S,Independent,3834,17,3851,0.37
THANJAVUR,9,JAYABAL A,Bahujan Samaj Party,2400,10,2410,0.23
THANJAVUR,10,SANTHOSH M,Independent,1982,10,1992,0.19
THANJAVUR,11,ER ARJUN S,Independent,1440,6,1446,0.14
THANJAVUR,12,KARIKALA CHOLAN S,Independent,1209,8,1217,0.12
THANJAVUR,13,NOTA,None of the Above,12674,159,12833,1.25
SIVAGANGA,1,KARTI P CHIDAMBARAM,INC,425631,2046,427677,40.6
SIVAGANGA,2,XAVIERDASS A,AIADMK,221255,758,222013,21.08
SIVAGANGA,3,DHEVANATHAN YADAV T,BJP,194559,1229,195788,18.59
SIVAGANGA,4,EZHILARASI,Naam Tamilar,162558,854,163412,15.51
SIVAGANGA,5,DHANALAKSHMI M,Independent,8494,18,8512,0.81
SIVAGANGA,6,GOVINDHARAJU M.G,Independent,4231,10,4241,0.4
SIVAGANGA,7,NAGARAJAN  KR,Independent,3682,14,3696,0.35
SIVAGANGA,8,PALANIYAPPAN  R,Independent,3426,1,3427,0.33
SIVAGANGA,9,RANJITHKUMAR BALUSWAMY,Bahujan Samaj Party,3160,11,3171,0.3
SIVAGANGA,10,BASKARAN S,Independent,2191,3,2194,0.21
SIVAGANGA,11,KALAISELVAM K,Independent,1660,3,1663,0.16
SIVAGANGA,12,MALAISAMY K,Independent,1524,3,1527,0.14
SIVAGANGA,13,SEKAR  A,Independent,1285,7,1292,0.12
SIVAGANGA,14,SELVARAJ P,Independent,1108,3,1111,0.11
SIVAGANGA,15,THILLAIVASAGAM   M,Vidiyalai Thedum Indhiyargal Party,1068,5,1073,0.1
SIVAGANGA,16,ASHOK KUMAR K,Independent,1030,4,1034,0.1
SIVAGANGA,17,KARTHICK  C,Independent,975,6,981,0.09
SIVAGANGA,18,MUTHARASU PANDIYAN  V,Independent,824,4,828,0.08
SIVAGANGA,19,KALAIRAJA  B,Independent,816,3,819,0.08
SIVAGANGA,20,KARTHIKAIRAJAN  P,Independent,762,9,771,0.07
SIVAGANGA,21,NOTA,None of the Above,8119,70,8189,0.78
MADURAI,1,VENKATESAN S,Communist Party of India  (Marxist),428201,2122,430323,43.6
MADURAI,2,RAAMA SREENIVASAN,BJP,219035,1879,220914,22.38
MADURAI,3,SARAVANAN P,AIADMK,204163,641,204804,20.75
MADURAI,4,SATHYADEVI T,Naam Tamilar,92386,493,92879,9.41
MADURAI,5,VELMURUGAN A,Bharatiya Praja Aikyata Party,5966,43,6009,0.61
MADURAI,6,VENKATESAN M,Independent,2497,8,2505,0.25
MADURAI,7,RAMAR PANDI T,Bahujan Samaj Party,2489,17,2506,0.25
MADURAI,8,SHANMUGA SUNDARAM A,United Republican Party of India,2338,11,2349,0.24
MADURAI,9,PERIYASAMY K,Independent,1966,2,1968,0.2
MADURAI,10,PANDIYAN S,Bahujan Dravida Party,1559,3,1562,0.16
MADURAI,11,BOOMINATHAN C,Independent,1211,2,1213,0.12
MADURAI,12,MUTHUPANDI S,Independent,1206,1,1207,0.12
MADURAI,13,RAMANATHAN S,Independent,1191,3,1194,0.12
MADURAI,14,VENKATESH S,Independent,1041,5,1046,0.11
MADURAI,15,SANKARAPANDI M.P.,Independent,1025,4,1029,0.1
MADURAI,16,GOPISON M.M.,Independent,942,4,946,0.1
MADURAI,17,SARAVANAN K.K.,Independent,843,1,844,0.09
MADURAI,18,GOPALAKRISHNAN S,Independent,745,1,746,0.08
MADURAI,19,CHANDRASEKAR N,Independent,708,3,711,0.07
MADURAI,20,PANDIYAN P,Socialist Unity Centre Of India (COMMUNIST),576,2,578,0.06
MADURAI,21,AVADAINATHAN V,Independent,461,1,462,0.05
MADURAI,22,NOTA,None of the Above,11074,100,11174,1.13
THENI,1,THANGA TAMILSELVAN,DMK,569110,2383,571493,50.08
THENI,2,TTV DHINAKARAN,AMMK,289909,2759,292668,25.65
THENI,3,NARAYANASAMY V T,AIADMK,154871,716,155587,13.63
THENI,4,MADHAN,Naam Tamilar,75495,1339,76834,6.73
THENI,5,PRAKASH P,Independent,6293,5,6298,0.55
THENI,6,PANDIKUMAR S,Independent,3907,60,3967,0.35
THENI,7,AJEETHKUMAR S,Independent,2977,29,3006,0.26
THENI,8,PARAMASIVAN S,Independent,2852,14,2866,0.25
THENI,9,PARTHIBAN G,Independent,2275,2,2277,0.2
THENI,10,JEEVA M,Bahujan Samaj Party,2123,99,2222,0.19
THENI,11,CHARCHIL DURAI P,Humanity for Peace Party,1905,30,1935,0.17
THENI,12,PREMA S,Independent,1225,7,1232,0.11
THENI,13,MANIKANDAN R,Independent,1195,6,1201,0.11
THENI,14,REVATHI K,Independent,1115,13,1128,0.1
THENI,15,MUDIYARASU,All India Youth Development Party,1078,16,1094,0.1
THENI,16,THIAGARAJAN O V,Independent,924,8,932,0.08
THENI,17,VASANTHA SARAVANAN,Independent,803,2,805,0.07
THENI,18,VIJAYAN K,Independent,665,2,667,0.06
THENI,19,SETHUPATHI G,Independent,613,4,617,0.05
THENI,20,JOHNGILBERTRAJ,Independent,598,5,603,0.05
THENI,21,AATHIMUTHUKUMAR M,Independent,587,5,592,0.05
THENI,22,MUTHUKUMAR,Independent,539,4,543,0.05
THENI,23,HARIKRISHNAKUMAR R,Independent,481,5,486,0.04
THENI,24,SATHEESH KUMAR A,Independent,447,6,453,0.04
THENI,25,KUMAR,Independent,376,1,377,0.03
THENI,26,NOTA,None of the Above,11206,130,11336,0.99
VIRUDHUNAGAR,1,MANICKAM TAGORE B,INC,382876,2380,385256,36.28
VIRUDHUNAGAR,2,VIJAYAPRABHAKARAN V,DMDK,378243,2634,380877,35.87
VIRUDHUNAGAR,3,RADIKAA R,BJP,164149,2122,166271,15.66
VIRUDHUNAGAR,4,KAUSHIK S,Naam Tamilar,76122,909,77031,7.25
VIRUDHUNAGAR,5,RAJESH,Independent,6167,6,6173,0.58
VIRUDHUNAGAR,6,ASHOK KUMAR M,Bharatiya Praja Aikyata Party,5228,65,5293,0.5
VIRUDHUNAGAR,7,SEKAR S,Hindu Samaj Party,3436,10,3446,0.32
VIRUDHUNAGAR,8,MANIKANDAN M,Independent,3341,5,3346,0.32
VIRUDHUNAGAR,9,MAYAK KANNAN,Independent,2749,2,2751,0.26
VIRUDHUNAGAR,10,MAHENDRA RAMAKRISHNAN P,Independent,2404,1,2405,0.23
VIRUDHUNAGAR,11,SURESH,Bahujan Samaj Party,2378,19,2397,0.23
VIRUDHUNAGAR,12,SELVI K,Independent,2165,23,2188,0.21
VIRUDHUNAGAR,13,PANDIYAMMAL R,Independent,2128,5,2133,0.2
VIRUDHUNAGAR,14,SUDALAIMANI M,Independent,1357,2,1359,0.13
VIRUDHUNAGAR,15,PALANICHAMY P,Bahujan Dravida Party,1261,2,1263,0.12
VIRUDHUNAGAR,16,PALANISAMY K,Independent,1251,6,1257,0.12
VIRUDHUNAGAR,17,VENKATESWARAN V K,Independent,1242,5,1247,0.12
VIRUDHUNAGAR,18,SELVARAJAN V V,Independent,1120,1,1121,0.11
VIRUDHUNAGAR,19,MARIEESWARI M,Independent,1100,10,1110,0.1
VIRUDHUNAGAR,20,SANKARANARAYANAN N,Independent,994,4,998,0.09
VIRUDHUNAGAR,21,SELVAKUMAR M,Independent,896,6,902,0.08
VIRUDHUNAGAR,22,MUTHUKANNU C,Tamilaga Makkal Nala Katchi,753,8,761,0.07
VIRUDHUNAGAR,23,MARISELVAM S,All India People Development Party,708,3,711,0.07
VIRUDHUNAGAR,24,JEYARAJ T,Independent,602,8,610,0.06
VIRUDHUNAGAR,25,VEDHA @  DHAMODHARAN,Independent,599,1,600,0.06
VIRUDHUNAGAR,26,RAJAGOPAL S,Independent,525,2,527,0.05
VIRUDHUNAGAR,27,GANESHAMOORTHI G,Independent,457,3,460,0.04
VIRUDHUNAGAR,28,NOTA,None of the Above,9256,152,9408,0.89
RAMANATHAPURAM,1,NAVASKANI K,IUML,506690,2974,509664,45.92
RAMANATHAPURAM,2,PANNEERSELVAM O ,Independent,340778,2104,342882,30.89
RAMANATHAPURAM,3,JEYAPERUMAL P,AIADMK,98757,1023,99780,8.99
RAMANATHAPURAM,4,DR CHANDRA PRABHA JEYAPAL,Naam Tamilar,96701,971,97672,8.8
RAMANATHAPURAM,5,MUVITH KUMAR N,Independent,7901,18,7919,0.71
RAMANATHAPURAM,6,SENTHILMALLAR K,Independent,6629,198,6827,0.62
RAMANATHAPURAM,7,SIVASHANKAR N,Independent,6583,10,6593,0.59
RAMANATHAPURAM,8,KANNADHASAN R,Independent,3485,17,3502,0.32
RAMANATHAPURAM,9,SELVARAJ G,Puthiya Makkal Tamil Desam Katchi,2943,14,2957,0.27
RAMANATHAPURAM,10,PANNEERSELVAM O S/O OCHAPPAN,Independent,2939,42,2981,0.27
RAMANATHAPURAM,11,PANCHAVARNAM V,Independent,2561,11,2572,0.23
RAMANATHAPURAM,12,PARIRAJAN C,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,2493,4,2497,0.22
RAMANATHAPURAM,13,PANNIR SELVAM M  S/O MALAIYANDI,Independent,2387,15,2402,0.22
RAMANATHAPURAM,14,NAWASKHAN,Independent,2301,22,2323,0.21
RAMANATHAPURAM,15,SIVANANDAM N,Bahujan Samaj Party,1958,56,2014,0.18
RAMANATHAPURAM,16,PANNEERSELVAM O  S/O  OYYADEVAR,Independent,1920,9,1929,0.17
RAMANATHAPURAM,17,ABUBAKKAR SITHICK J,Desiya Makkal Sakthi Katchi,1497,21,1518,0.14
RAMANATHAPURAM,18,MANIVASAGAM S,Bahujan Dravida Party,1392,11,1403,0.13
RAMANATHAPURAM,19,PANNEERSELVAM O S/O  OYYARAM,Independent,1369,7,1376,0.12
RAMANATHAPURAM,20,SALEEM,Independent,961,13,974,0.09
RAMANATHAPURAM,21,SASIKANI K,Independent,896,3,899,0.08
RAMANATHAPURAM,22,SATHURAGIRI K,Independent,815,12,827,0.07
RAMANATHAPURAM,23,SIKKANDAR B,Independent,804,19,823,0.07
RAMANATHAPURAM,24,VIGNESH V,Independent,643,9,652,0.06
RAMANATHAPURAM,25,PANNERSELVAM O  S/O  OCHATTHEVAR,Independent,564,8,572,0.05
RAMANATHAPURAM,26,NOTA,None of the Above,6163,132,6295,0.57
THOOTHUKUDI,1,KANIMOZHI KARUNANIDHI,DMK,537879,2850,540729,55.26
THOOTHUKUDI,2,SIVASAMY VELUMANI R,AIADMK,147407,584,147991,15.12
THOOTHUKUDI,3,VIJAYASEELAN SDR,TMC  (Moopanar),121680,700,122380,12.51
THOOTHUKUDI,4,ROWENA RUTH JANE J,Naam Tamilar,119374,926,120300,12.29
THOOTHUKUDI,5,RAJHA N P,Naam Indiar Party,6622,18,6640,0.68
THOOTHUKUDI,6,ARUNADEVI R,Independent,6029,43,6072,0.62
THOOTHUKUDI,7,CHITHIRAI JEGAN S,Independent,3637,3,3640,0.37
THOOTHUKUDI,8,SIVANESWARAN J,Independent,3363,13,3376,0.35
THOOTHUKUDI,9,SAMUEL T,Independent,2240,5,2245,0.23
THOOTHUKUDI,10,MANIKKARAJ A,Bahujan Samaj Party,2158,37,2195,0.22
THOOTHUKUDI,11,AASIRIYAR SHANMUGA SUNDARAM K,Independent,1832,7,1839,0.19
THOOTHUKUDI,12,KALEERMURUGAPAVENTHAN R,Makkal Nalvaazhvuk Katchi,1736,56,1792,0.18
THOOTHUKUDI,13,PONKUMARAN T P S,Independent,894,3,897,0.09
THOOTHUKUDI,14,JEYAKUMAR C,Independent,825,4,829,0.08
THOOTHUKUDI,15,GANDHIMALLAR S M,Independent,791,14,805,0.08
THOOTHUKUDI,16,BISHOP DR GODFREY NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,757,12,769,0.08
THOOTHUKUDI,17,PERUMALKUMAR P,Puthiya Makkal Tamil Desam Katchi,727,12,739,0.08
THOOTHUKUDI,18,ESAKKIMUTHU V,Independent,699,11,710,0.07
THOOTHUKUDI,19,KANNAN G,Independent,679,10,689,0.07
THOOTHUKUDI,20,DAVID JEBASEELAN J,Independent,656,7,663,0.07
THOOTHUKUDI,21,SUDALAIMUTHU P,Independent,576,2,578,0.06
THOOTHUKUDI,22,KRISHNAN S,Independent,479,1,480,0.05
THOOTHUKUDI,23,RADHAKRISHNAN V G,Independent,456,5,461,0.05
THOOTHUKUDI,24,JAMES P,Independent,433,11,444,0.05
THOOTHUKUDI,25,PONRAJ K,Independent,428,1,429,0.04
THOOTHUKUDI,26,PRASANNA KUMAR M,Independent,396,-,396,0.04
THOOTHUKUDI,27,SELVAMUTHUKUMAR M,Independent,341,-,341,0.03
THOOTHUKUDI,28,SENTHIL KUMAR S,Independent,290,1,291,0.03
THOOTHUKUDI,29,NOTA,None of the Above,9682,124,9806,1
TENKASI,1,DR RANI SRI KUMAR,DMK,423025,2654,425679,40.97
TENKASI,2,DR K KRISHNASAMY,AIADMK,228290,1190,229480,22.08
TENKASI,3,B JOHN PANDIAN,BJP,206982,1843,208825,20.1
TENKASI,4,ESAI MATHIVANAN,Naam Tamilar,128750,1585,130335,12.54
TENKASI,5,KARPAGAVALLI P,Independent,6200,114,6314,0.61
TENKASI,6,T MAHESHKUMAR,Bahujan Samaj Party,3526,28,3554,0.34
TENKASI,7,RAMASAMY P,Viro Ke Vir Indian Party,3395,17,3412,0.33
TENKASI,8,M MANMATHAN,Independent,3276,2,3278,0.32
TENKASI,9,A SEETHA,Bahujan Dravida Party,2476,-,2476,0.24
TENKASI,10,KRISHNASAMY,Independent,1828,5,1833,0.18
TENKASI,11,M UMAMAHESWARI,Desiya Makkal Sakthi Katchi,1626,29,1655,0.16
TENKASI,12,A MUTHAIAH,Independent,1440,17,1457,0.14
TENKASI,13,P KRISHNASAMY,Independent,1342,8,1350,0.13
TENKASI,14,ARUMUGASWAMI M,Independent,1292,21,1313,0.13
TENKASI,15,RAJA SEKAR,Independent,982,11,993,0.1
TENKASI,16,NOTA,None of the Above,16877,288,17165,1.65
TIRUNELVELI,1,ROBERT BRUCE C,INC,499493,2803,502296,47.06
TIRUNELVELI,2,NAINAR NAGENTHRAN,BJP,334431,2245,336676,31.54
TIRUNELVELI,3,JANSI RANI M,AIADMK,88996,605,89601,8.39
TIRUNELVELI,4,SATHYA,Naam Tamilar,86918,768,87686,8.21
TIRUNELVELI,5,POTTAL SUNDARA MUNISWARAN,Independent,19802,50,19852,1.86
TIRUNELVELI,6,ATHISAYAM V,Independent,3744,37,3781,0.35
TIRUNELVELI,7,BALASUBRAMANIAN,Bahujan Samaj Party,2044,23,2067,0.19
TIRUNELVELI,8,CHINNA MAHARAJA K,Independent,1888,7,1895,0.18
TIRUNELVELI,9,DAVID M,Independent,1829,7,1836,0.17
TIRUNELVELI,10,SAMUEL LAWRENCE PONNIAH,Independent,1493,4,1497,0.14
TIRUNELVELI,11,BISHOP DR GODFREY WASHINGTON NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1457,18,1475,0.14
TIRUNELVELI,12,LENIN K,Independent,1441,9,1450,0.14
TIRUNELVELI,13,CHANDRAN M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1409,4,1413,0.13
TIRUNELVELI,14,SELVA KUMAR S,Bahujan Dravida Party,1317,29,1346,0.13
TIRUNELVELI,15,KUMAR V,Puthiya Makkal Tamil Desam Katchi,1057,15,1072,0.1
TIRUNELVELI,16,MUTHURAMAN A,Aravor Munnetra Kazhagam,1046,2,1048,0.1
TIRUNELVELI,17,THALAPATHY MURUGAN M,Independent,913,4,917,0.09
TIRUNELVELI,18,SIVARAM K,Independent,855,20,875,0.08
TIRUNELVELI,19,RAMAKRISHNAN N,Nam India Naam Indiyar Katchi,790,-,790,0.07
TIRUNELVELI,20,SURESH,Independent,777,11,788,0.07
TIRUNELVELI,21,DR RAJENDRA RETNAM K,Independent,685,4,689,0.06
TIRUNELVELI,22,SEVAL KANNAN B ADVOCATE,Independent,622,14,636,0.06
TIRUNELVELI,23,RAGHAVAN C M,Independent,364,2,366,0.03
TIRUNELVELI,24,NOTA,None of the Above,7285,111,7396,0.69
KANNIYAKUMARI,1,VIJAYAKUMAR (Alias) VIJAY VASANTH,INC,540267,5981,546248,53.08
KANNIYAKUMARI,2,RADHAKRISHNAN P,BJP,361623,4718,366341,35.6
KANNIYAKUMARI,3,MARIA JENNIFER CLARA MICHAEL,Naam Tamilar,51893,828,52721,5.12
KANNIYAKUMARI,4,PASILIAN NAZERATH,AIADMK,40927,466,41393,4.02
KANNIYAKUMARI,5,NAGOOR MEERAN PEER MOHAMED U,Independent,4412,3,4415,0.43
KANNIYAKUMARI,6,BERRILA L,Independent,3256,6,3262,0.32
KANNIYAKUMARI,7,BALASUBRAMANIAN T,Independent,2047,25,2072,0.2
KANNIYAKUMARI,8,VIJAYAN G,Bahujan Samaj Party,1607,16,1623,0.16
KANNIYAKUMARI,9,DENNISON V,Independent,1274,4,1278,0.12
KANNIYAKUMARI,10,DR TOM MANOHAR C M,Punnagai Desam Party,1034,6,1040,0.1
KANNIYAKUMARI,11,SATHISH BABU P,Independent,747,1,748,0.07
KANNIYAKUMARI,12,RAJAN SINGH,Bahujan Dravida Party,592,6,598,0.06
KANNIYAKUMARI,13,GEETA M,Thakkam Katchi,528,24,552,0.05
KANNIYAKUMARI,14,SANTHAKUMAR N,Independent,521,6,527,0.05
KANNIYAKUMARI,15,RAMESHKUMAR J L,Independent,464,1,465,0.05
KANNIYAKUMARI,16,ESAKKIMUTHU N,Independent,435,6,441,0.04
KANNIYAKUMARI,17,AYYAPPAN V,Independent,358,15,373,0.04
KANNIYAKUMARI,18,SARAVANAN N,Samaniya Makkal Nala Katchi,308,7,315,0.03
KANNIYAKUMARI,19,VINO JEBA SEELAN T,Independent,265,5,270,0.03
KANNIYAKUMARI,20,KRISHNAN P,Independent,250,4,254,0.02
KANNIYAKUMARI,21,VENKADESH S C,Independent,187,1,188,0.02
KANNIYAKUMARI,22,ANTONY MICHAEL J,Independent,166,9,175,0.02
KANNIYAKUMARI,23,NOTA,None of the Above,3680,76,3756,0.36
